	 К основным признакам предприятия не относитсяОТВЕТорганизационная обособленность
	 Общими принципами организации производства являютсяОТВЕТпараллельность ритмичность непрерывность специализация верно
	 Вставьте пропущенное слово которое отражает принцип рациональной организации производственного процесса Организация производственного процесса при которой обеспечивается кратчайший путь движения предметов труда от запуска сырья и материалов до получения готовой продукции – это…ОТВЕТпрямоточность
	 Вставьте пропущенное слово которое отражает принцип рациональной организации производственного процесса Сосредоточение определенных производственных операций по изготовлению технологически однородной продукции или выполнению функциональнооднородных работ на отдельных рабочих местах участках в цехах или производствах предприятия  этоОТВЕТконцентрация
	 Вставьте пропущенное слово которое отражает принцип рациональной организации производственного процесса Разделение труда между отдельными подразделениями предприятия и рабочими местами и их кооперирование в процессе производства – это …ОТВЕТспециализация
	 Какая из перечисленных характеристик относится к серийному типу производстваОТВЕТвыпуск продукции ограничен сериями
	 Вставьте пропущенное слово которое отражает принцип рациональной организации производственного процесса Наблюдается сокращение или ликвидация перерывов в процессе производства готовой продукции – этоОТВЕТнепрерывность
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	  Неделя ОТВЕТ
	 ОТВЕТ
	 При улучшении использования производственных площадей производственная мощность предприятияОТВЕТУвеличится
	 Определите стоимость валовой продукции предприятия в млн руб если известно что стоимость товарной продукции составляет  млн руб остатки незавершенного производства на начало и конец периода составляют соответственно  тыс руб и  тыс рубОТВЕТ
	 Стоимость всего объема продукции произведенной за определенный период всеми цехами предприятия независимо от того использовалась ли данная продукция внутри предприятия для дальнейшей переработки или была реализована на сторону – этоОТВЕТваловый оборот
	 При расчете производственной мощности используется фонд времени работы оборудованияОТВЕТэффективный
	 Как влияет на размер производственной мощности предприятия сокращение длительности производственных циклов изготовления изделий на предприятииОТВЕТповышает
	 В многономенклатурном производстве производственная мощность измеряется в следующих единицахОТВЕТусловнонатуральных
	 Мощность рассчитанная с учетом мощности на начало периода вводимых и выбывающих мощностей по времени их участия в производственном процессе – этоОТВЕТСреднегодовая мощность
	 Что такое «мощность»ОТВЕТмаксимально возможный выход системы за определенный период
	 Проектируемая мощность скорректированная с учетом эффективности и коэффициента использования – этоОТВЕТНормативная мощность
	 В цехе расположены четыре производственных участка с мощностью соответственно     едмесяц Какой из участков является «узким» местом цехаОТВЕТ
	 Мощность предприятия на начало планового периода – этоОТВЕТВходная мощность
	 Как в общем случае влияет на размер производственной мощности предприятия увеличение сменности работы оборудованияОТВЕТповышает верно
	 Определите что из перечисленного соответствует понятию «чистая продукция»ОТВЕТваловая продукция за вычетом материальных затрат и амортизационных отчислений
	 Как влияет на размер производственной мощности предприятия сокращение времени работы в предпраздничные дниОТВЕТсокращает
	 Производственная мощность предприятия определяетсяОТВЕТпо мощности основных ведущих производственных единиц цехов участков
	 Как изменится коэффициентфициент использования производственной мощности если в рассматриваемом периоде предприятие выпустило на  меньше продукции чем в предыдущем при прочих равных условияхОТВЕТуменьшится
	 При улучшении использования производственных площадей производственная мощность предприятияОТВЕТувеличится
	 Имеет место дефицит мощностей еслиОТВЕТспрос объем заказов превышает мощность верно
	 Определите что из перечисленного соответствует понятию «чистая продукция»ОТВЕТваловая продукция за вычетом материальных затрат и амортизационных отчислений
	 Определите стоимость валовой продукции предприятия в млн руб если известно что стоимость товарной продукции составляет  млн руб остатки незавершенного производства на начало и конец периода составляют соответственно  тыс руб и  тыс руб 
 
 
ОТВЕТ
	 Как влияет на размер производственной мощности предприятия сокращение числа единиц установленного оборудования без замены оставшегося на более производительное 
ОТВЕТсокращает
	 Как влияет на размер производственной мощности предприятия увеличение числа единиц установленного оборудования 
ОТВЕТповышает
	 При снижении серийности производства производственная мощностьОТВЕТуменьшится
	 План по выпуску и реализации продукции – этоОТВЕТПроизводственная программа
	 Рассчитайте величину коэффициента использования производственной мощности предприятия если известно что объем производства продукции за год составляет  тыс шт среднегодовая производственная мощность –  тыс штОТВЕТ
	 В расчеты производственной мощности предприятия включаются все наличное оборудование основного производства за исключениемОТВЕТрезервное оборудование
	 К стоимостным показателям производственной программы относитсяОТВЕТтоварная продукция
	 Имеет место недогрузка мощностей еслиОТВЕТмощность превышает спрос объем заказов
	 Определите стоимость реализованной продукции предприятия в млн руб если известно что стоимость товарной продукции составляет  млн руб остатки нереализованной продукции на начало и конец периода составляют соответственно  тыс руб и  тыс рубОТВЕТ
	 Сумма мощностей на начало года вводимых и выбывающих в течение года – этоОТВЕТВыходная мощность
	 Как изменится коэффициент использования производственной мощности если в рассматриваемом периоде на  увеличился фонд времени работы по сравнению с предыдущим периодом при прочих равных условияхОТВЕТУменьшится 
	 Как изменится коэффициент использования производственной мощности если в рассматриваемом периоде предприятие выпустило на  больше продукции чем в предыдущем при прочих равных условияхОТВЕТУвеличится 
	 ОТВЕТ
	 Как изменится коэффициент использования производственной мощности если в рассматриваемом периоде на  уменьшился фонд времени работы по сравнению с предыдущим периодом при прочих равных условияхОТВЕТУвеличится 
	 Определите стоимость реализованной продукции предприятия в млн руб если известно что стоимость товарной продукции составляет  млн руб остатки нереализованной продукции на начало и конец периода составляют соответственно  тыс руб и  тыс рубОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	  неделяОТВЕТ
	 ОТВЕТ
	 Амортизация основных производственных фондов – этоОТВЕТпроцесс переноса стоимости основных производственных фондов на затраты связанные с изготовлением продукции
	 Стоимость воспроизводства основных средств в современных условиях – этоОТВЕТвосстановительная стоимость
	 Для эффективного производстваОТВЕТфондоотдача должна увеличиваться а фондоемкость уменьшаться
	 При каком способе начисления амортизации исходят из показателей первоначальной стоимости объекта и соотношение числа оставшихся лет эксплуатации к сумме лет службыОТВЕТсписания стоимости пропорционально сумме чисел лет срока полезного использования
	 Какой коэффициент определяется отношением стоимости новых фондов к стоимости основных средств на конец отчетного годаОТВЕТкоэффициент обновления
	 В чём вещественно воплощены основные средстваОТВЕТв средствах труда
	 Какая стоимость основных фондов включающая стоимость цену приобретенного элемента основных фондов а также затраты на доставку монтаж наладку ввод в действиеОТВЕТпервоначальная стоимость
	 По какой стоимости оцениваются основные производственные фонды при постановке на учет предприятияОТВЕТпервоначальной
	 При каком способе начисления амортизации используется остаточная стоимость основных средствОТВЕТспособе уменьшаемого остатка
	 Остаточная стоимость основных фондов  этоОТВЕТпервоначальная стоимость основных фондов минус начисленная амортизация
	 К активной части основных производственных фондов предприятия относятсяОТВЕТоборудование
	 Коэффициент который характеризует уровень использования активной части основных производственных фондов во времени с учетом смен называетсяОТВЕТкоэффициентом сменности
	 При каком способе начисления амортизации не используется первоначальная стоимость основных средствОТВЕТспособе уменьшаемого остатка
	 При каком способе начисления амортизации исходят из первоначальной стоимости объекта и нормы амортизации исчисленной в зависимости от срока полезного использования этого объекта или группы объектовОТВЕТлинейном способе
	 К активной части основных производственных фондов предприятия относятсяОТВЕТоборудование
	 Разность между первоначальной стоимостью основных фондов и накопленной суммой их износа – этоОТВЕТостаточная стоимость
	 Какая из перечисленных позиций не входит в состав основных производственных фондов предприятияОТВЕТнезавершенное производство
	 Какая стоимость основных фондов включающая стоимость цену приобретенного элемента основных фондов а также затраты на доставку монтаж наладку ввод в действиеОТВЕТпервоначальная стоимость
	 Объекты культурнобытового назначения медицинские учреждения столовые относятся кОТВЕТосновным непроизводственным фондам
	 При каком способе начисления амортизации используется остаточная стоимость основных средствОТВЕТспособе уменьшаемого остатка
	 Выберите из предлагаемого перечня черту характеризующую экономическую сущность основных средствОТВЕТцеликом участвуют в процессе производства не изменяя своей натуральной формы и переносят свою стоимость на готовый продукт по частям
	 Какой коэффициент определяется отношением стоимости всех выбывших основных фондов к стоимости основных фондов на начало периодаОТВЕТкоэффициент выбытия 
	 Какие из перечисленных позиций входят в состав ОПФ Возможен множественный ответОТВЕТздания сооружения передаточные устройства
	 Какие из перечисленных показателей относятся к показателям движения основных средств ОТВЕТкоэффициент выбытия основных средств
	 Установленный годовой процент погашения стоимости основных фондов называетсяОТВЕТнормой амортизации
	 По назначению и сфере применения основные фонды подразделяются наОТВЕТпроизводственные и непроизводственные
	 Коэффициент который характеризует уровень использования машин и оборудования по мощности называетсяОТВЕТкоэффициентом интенсивного использования
	 Утрата стоимости вследствие снижения стоимости воспроизводства аналогичных объектов основных средств обусловленных совершенствованием технологии и организации производственного процесса – этоОТВЕТморальный износ основных фондов
	 Интенсивное использование оборудования характеризуютОТВЕТнет верного ответа
	 Показатель отражающий отношение среднегодовой стоимости основных производственных фондов к выручке от реализации продукции – этоОТВЕТфондоемкость
	 Рассчитайте величину коэффициента использования производственной мощности предприятия если известно что объем производства продукции за год составляет  шт среднегодовая производственная мощность –  тыс штОТВЕТ
	 К пассивной части основных производственных фондов предприятия относятсяОТВЕТздания
	 Коэффициент который характеризует уровень использования активной части основных производственных фондов во времени называетсяОТВЕТкоэффициентом экстенсивного использования
	 Основные производственные фонды в зависимости от степени их воздействия на предмет труда делятся наОТВЕТактивные и пассивные
	 Объекты культурнобытового назначения медицинские учреждения столовые относятся кОТВЕТосновным непроизводственным фондам
	 В чём вещественно воплощены основные средстваОТВЕТв средствах труда
	 Показатель фондоотдачи характеризуетОТВЕТразмер объема товарной продукции приходящейся на  руб основных производственных фондов
	 Коэффициент который характеризует уровень использования машин и оборудования как во времени так и по мощности называетсяОТВЕТинтегральным коэффициентом
	 При каком способе начисления амортизации исходят из показателей натурального или условнонатурального объема продукции и соотношения первоначальной стоимости объекта и предполагаемого объема продукции работ за весь срок полезного использования данного объекта основных средствОТВЕТсписания стоимости пропорционально объему выпущенной продукции
	 Отношение выручки от реализации продукции к стоимости ОПФ – этоОТВЕТфондоотдача
	 Натуральная форма основных средств в процессе производстваОТВЕТсохраняется
	 Отношение среднегодовой стоимости основных фондов к среднесписочной численности работников – этоОТВЕТфондовооруженность
	 При каком способе начисления амортизации исходят из остаточной стоимости объектов основных средств на начало отчетного года и нормы амортизации исчисленной исходя из срока полезного использования этого объектаОТВЕТспособе уменьшаемого остатка
	 Фондоемкость  определяется как отношениеОТВЕТстоимости ОПФ к выручке от продажи продукции
	 Основные средства участвуют в производственном процессеОТВЕТнеоднократно
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	  неделяОТВЕТ
	 ОТВЕТ
	 Фонды обращения включаютОТВЕТготовую продукцию запасы товаров денежные средства на счетах предприятия в кассе и расчетах
	 Что из перечисленного не входит в состав фондов обращения на предприятииОТВЕТсырье и материалы на складе
	 Какие из перечисленных позиций относятся к фондам обращенияОТВЕТденежные средства в кассе
	 Какие из перечисленных позиций характеризуют коэффициент оборачиваемости оборотных средствОТВЕТколичество оборотов оборотных средств за соответствующий период
	 Определите период оборота оборотных средств предприятия в днях если известно что средний остаток оборотных средств за год составляет  млн руб годовая выручка от реализации продукции –  млн руб в году  днейОТВЕТ
	 Какой норматив производственных запасов является основным необходимым для бесперебойной работы предприятия между двумя очередными поставкамиОТВЕТтекущий
	 Средства в расчетах относятся кОТВЕТненормируемым оборотным средствам
	 Показателями оборачиваемости оборотных средств являютсяОТВЕТкоэффициент оборачиваемости
	 Оборотные средства предприятия – этоОТВЕТсумма стоимости оборотных фондов и фондов обращения предприятия верно
	 Если известно что период оборота оборотных средств предприятия снизился с  до  дней что можно сказать об эффективности использования оборотных средствОТВЕТоборотные средства стали использоваться эффективнее
	 Что из перечисленного входит в состав оборотных средств предприятияОТВЕТзапасы сырья материалов топлива верно
	 В состав оборотных фондов предприятия входятОТВЕТпроизводственные запасы сырья материалов полуфабрикатов покупных изделий запасных частей топлива незавершенное производство расходы будущих периодов верно
	 Основное назначение фондов обращенияОТВЕТобеспечение ресурсами процесса обращения верно
	 Коэффициент оборачиваемости средств характеризуетОТВЕТразмер объема выручки от реализации в расчете на один рубль оборотных средств верно
	 Оборотные производственные фонды функционируютОТВЕТв процессе производства верно
	 Целью нормирования являетсяОТВЕТопределение рационального размера оборотных средств 
	 Что из ниже перечисленного не относится к оборотным средствам предприятия 
ОТВЕТПередаточные устройства
	 Какой норматив производственных запасов создается на случай непредвиденных отклонений в снабжении и обеспечивает непрерывную работу предприятияОТВЕТстраховой
	 Чем меньше продолжительность оборота тем при прочих равных условияхОТВЕТменьше требуется оборотных средств 
	 Какое участие принимают оборотные производственные фонды в производственном процессеОТВЕТоднократное участие в производственном процессе изменяя при этом свою натуральновещественной форму 
	 Оборотные средства в запасах товарноматериальных ценностей относятся кОТВЕТнормируемым оборотным средствам 
	 Эффективность использования оборотных средств характеризуютОТВЕТкоэффициент оборачиваемости средняя продолжительность одного оборота оборотных средств
	 Оборотные средства – этоОТВЕТденежные средства авансируемые в оборотные производственные фонды и фонды обращения
	 Фонды обращения функционируютОТВЕТв процессе обращения
	 Первоначальная стоимость основных фондов − этоОТВЕТстоимость основных фондов при постановке на учет верно
	 При расчете показателей фондоотдачи и фондоемкости стоимость основных фондов рассчитывается по ихОТВЕТсреднегодовой стоимости верно
	 Если известно что период оборота оборотных средств предприятия снизился с  до  дней что можно сказать об эффективности использования оборотных средствОТВЕТоборотные средства стали использоваться эффективнее верно
	 Чем меньше продолжительность оборотаОТВЕТтем больше кругооборотов совершают оборотные средства при данном объеме реализации
	 Какой норматив производственного запаса создается в случае превышения сроков грузооборота в сравнении со сроками документооборота на предприятиях удаленных от поставщиков на значительные расстоянияОТВЕТтранспортный
	 Коэффициент загрузки средств в обороте определяетсяОТВЕТотношением остатков оборотных средств к объему реализованной продукции верно
	 ОТВЕТ
	 Дебиторская задолженность относится кОТВЕТненормируемым оборотным средствам
	 К фондам обращения принадлежатОТВЕТготовая к реализации продукция и денежные средства предприятия
	 Какой норматив производственного запаса создается в случаях когда данный вид сырья нуждается в предварительной обработке выдержке для придания определенных потребительских свойствОТВЕТтехнологический
	 Какой норматив производственного запаса связан с необходимостью приемки разгрузки сортировки и складирования производственных запасовОТВЕТподготовительный 
	 Какая из представленных ниже схем отражает сбытовую стадию кругооборота оборотных средствОТВЕТСреди указанных ответов нет верного
	 Если известно что коэффициент оборачиваемости оборотных средств предприятия увеличился с  до  что можно сказать об эффективности использования оборотных средствОТВЕТоборотные средства стали использоваться эффективнее
	 На какой норматив производственных запасов влияют периодичность поставок материалов по договорам и объем их потребления в производствеОТВЕТтекущий
	 Какая из представленных ниже схем отражает заготовительную стадию кругооборота оборотных средствОТВЕТДеньги → Товар
	 Определите материалоемкость продукции если известны следующие данные объем продукции произведенной за год составил  тыс шт цена единицы продукции –  рубшт годовые затраты предприятия на сырье и материалы –  тыс руб годовая арендная плата –   тыс руб административные и прочие расходы –   тыс рубОТВЕТ
	 Из ниже перечисленных элементов оборотных средств укажите элементы которые не подлежат нормированиюОТВЕТфонды обращения за исключением готовой продукции на складе
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	  неделяОТВЕТ
	 ОТВЕТ
	 О повышении эффективности использования рабочей силы на предприятии свидетельствуютОТВЕТувеличение показателя выработки
	 Оплата труда когда стоимость всей работы определяется исходя из действующих норм и расценок на отдельные элементы работ посредством их суммирования с выплатой премии за срочное и качественное выполнение работ это  …ОТВЕТОплата труда когда стоимость всей работы определяется исходя из действующих норм и расценок на отдельные элементы работ посредством их суммирования с выплатой премии за срочное и качественное выполнение работ это  …
	 Оплата труда когда стоимость всей работы определяется исходя из действующих норм и расценок на отдельные элементы работ посредством их суммирования с выплатой премии за срочно е и качественное выполнение работ это  …ОТВЕТОплата труда когда стоимость всей работы определяется исходя из действующих норм и расценок на отдельные элементы работ посредством их суммирования с выплатой премии за срочное и качественное выполнение работ это  …
	 Основным недостатком простой сдельной формы оплаты труда является то чтоОТВЕТвозможно снижение качества продукции при росте выработки
	 Повременная форма оплаты труда применяетсяОТВЕТесли невозможно установить зависимость между количеством труда и количеством затраченного времени
	 Оплата труда когда сумма заработной платы зависит от заработка работников основного производства и устанавливается в процентах от общей суммы заработка работников того производства которое они обслуживают это ОТВЕТкосвенносдельная
	 Какая из перечисленных разновидностей форм оплаты труда используется как правило для оплаты вспомогательных рабочих которые оказывают существенное влияние на выработку основных рабочихОТВЕТкосвенносдельная оплата труда
	 Что не принимается во внимание при составлении бюджета рабочего времениОТВЕТкоэффициент оборота персонала 
	 Какой из параметров не учитывается при планировании числа основных рабочихОТВЕТкоэффициент трудового участия
	 Трудоемкость – этоОТВЕТобратный показатель производительности труда
	 Как определяется коэффициент общего оборота кадровОТВЕТ
	 Как определяется коэффициент восполнения кадров 
ОТВЕТОтношением числа принятых к числу выбывших за отчетный период работников
	 Оплата труда которая начисляется по тарифной ставке работника данного разряда за фактически отработанное время с премированием за выполнение количественных и качественных показателей деятельности это  …ОТВЕТповременнопремиальная
	 овокупность специальных теоретических знаний и практических навыков необходимых для выполнения определенного вида работ в какойлибо отрасли производства которые приобретаются путем общего или специального образования и практического опытаОТВЕТпрофессия
	 Какие категории работников не входят в состав промышленнопроизводственного персоналаОТВЕТработники столовой
	 Номинальный табельный фонд рабочего времениОТВЕТразность между календарным фондом рабочего времени и временем приходящимся на выходные и праздничные дни за рассматриваемый период
	 Условиями применения …… формы оплаты труда являются наличие количественных показателей работы непосредственно зависящих от конкретного работника возможность точного учета объема выполняемых работОТВЕТсдельная форма оплаты труда
	 Оплата труда при которой работник сверх заработка по прямым расценкам получает премию за выполнение и перевыполнение заранее установленных количественных и качественных показателей работы этоОТВЕТсдельнопремиальная
	 Система по которой за изготовление продукции в пределах установленной нормы платят по неизменным расценкам а продукция произведенная сверх нормы оплачивается по повышенным расценкам прогрессивно возрастающим в зависимости от степени перевыполнения нормыОТВЕТсдельнопрогрессивная
	 Какая зависимость должна постоянно контролироваться на предприятииОТВЕТсоотношение темпов роста производительности труда и заработной платы 
	 ид деятельности который имеет специфические особенности и требует от работников особых знаний и навыков в рамках полученных специальных теоретических знаний и практического опытаОТВЕТспециальность
	 Какой из перечисленных показателей характеризует уровень производительности трудаОТВЕТтрудоемкость продукции
	 При простой сдельной системе оплаты труда с увеличением выпуска продукцииОТВЕТувеличивается доля заработной платы в себестоимости продукции
	 Документ утверждаемый руководителем предприятия и представляющий собой перечень сгруппированных по отделам и службам должностей служащих с указанием разряда категории работ и должностного оклада  этоОТВЕТштатное расписание
	 Аккордная система оплаты труда характеризуетсяОТВЕТэкономией времени при выполнении задания
	 Аккордная система оплаты труда характеризуетсяОТВЕТэкономией времени при выполнении задания 
	 Разность между номинальным фондом рабочего времени и временем очередных отпусков невыходов рабочих по уважительным причинам – этоОТВЕТ
	 При расчете производственной трудоемкости не учитывается фонд рабочего времениОТВЕТобщезаводских работников
	 Аккордная система оплаты труда характеризуетсяОТВЕТэкономией времени при выполнении задания
	 О повышении эффективности использования рабочей силы на предприятии свидетельствуетОТВЕТснижение показателя трудоемкости
